activity_id,wbs_path,description,discipline,level,planned_start,planned_finish,planned_qty,uom,tags,predecessors
OIL-A1-PIP-L6-0001,OIL Project > Gas Compression Area > Sec-1 > Piping,"Erect Line 12""-CW-1001 Spools (Sec-1)",Piping,L5,2026-07-15,2026-07-21,60.0,m,"line:12""-CW-1001",
OIL-A1-PIP-L6-0002,OIL Project > Gas Compression Area > Sec-2 > Piping,"Erect Line 24""-PG-1002 Spools (Sec-2)",Piping,L6,2026-05-26,2026-06-11,20.0,m,"line:24""-PG-1002",OIL-A1-PIP-L6-0001
OIL-A1-PIP-L6-0003,OIL Project > Gas Compression Area > Sec-3 > Piping,"Erect Line 8""-PG-1003 Spools (Sec-3)",Piping,L6,2026-04-16,2026-04-26,120.0,m,"line:8""-PG-1003",OIL-A1-PIP-L6-0002
OIL-A1-PIP-L6-0004,OIL Project > Gas Compression Area > Sec-4 > Piping,"Erect Line 6""-HC-1004 Spools (Sec-4)",Piping,L5,2026-07-19,2026-07-26,60.0,m,"line:6""-HC-1004",OIL-A1-PIP-L6-0003
OIL-A1-PIP-L6-0005,OIL Project > Gas Compression Area > North Bay > Piping,"Erect Line 16""-CW-1005 Spools (North Bay)",Piping,L6,2026-06-11,2026-06-19,20.0,m,"line:16""-CW-1005",OIL-A1-PIP-L6-0004
OIL-A1-PIP-L6-0006,OIL Project > Gas Compression Area > South Bay > Piping,"Erect Line 24""-CW-1006 Spools (South Bay)",Piping,L6,2026-06-12,2026-06-16,120.0,m,"line:24""-CW-1006",OIL-A1-PIP-L6-0005
OIL-A1-PIP-L6-0007,OIL Project > Gas Compression Area > Sec-1 > Piping,"Fabricate Spools for Line 8""-HC-1007 (Sec-1)",Piping,L5,2026-06-14,2026-07-01,60.0,m,"line:8""-HC-1007",OIL-A1-PIP-L6-0006
OIL-A1-PIP-L6-0008,OIL Project > Gas Compression Area > Sec-2 > Piping,"Fabricate Spools for Line 12""-CW-1008 (Sec-2)",Piping,L6,2026-06-13,2026-06-25,120.0,m,"line:12""-CW-1008",OIL-A1-PIP-L6-0007
OIL-A1-PIP-L6-0009,OIL Project > Gas Compression Area > Sec-3 > Piping,"Fabricate Spools for Line 16""-FG-1009 (Sec-3)",Piping,L6,2026-04-16,2026-05-02,40.0,m,"line:16""-FG-1009",OIL-A1-PIP-L6-0008
OIL-A1-PIP-L6-0010,OIL Project > Gas Compression Area > Sec-4 > Piping,"Fabricate Spools for Line 12""-CW-1010 (Sec-4)",Piping,L5,2026-07-07,2026-07-20,60.0,m,"line:12""-CW-1010",OIL-A1-PIP-L6-0009
OIL-A1-PIP-L6-0011,OIL Project > Gas Compression Area > North Bay > Piping,"Fabricate Spools for Line 12""-HC-1011 (North Bay)",Piping,L6,2026-05-05,2026-05-23,20.0,m,"line:12""-HC-1011",OIL-A1-PIP-L6-0010
OIL-A1-PIP-L6-0012,OIL Project > Gas Compression Area > South Bay > Piping,"Fabricate Spools for Line 6""-FG-1012 (South Bay)",Piping,L6,2026-07-01,2026-07-16,60.0,m,"line:6""-FG-1012",OIL-A1-PIP-L6-0011
OIL-A1-PIP-L6-0013,OIL Project > Gas Compression Area > Sec-1 > Piping,"Weld Joints Line 6""-HC-1013 (Sec-1)",Piping,L5,2026-06-03,2026-06-07,40.0,m,"line:6""-HC-1013",OIL-A1-PIP-L6-0012
OIL-A1-PIP-L6-0014,OIL Project > Gas Compression Area > Sec-2 > Piping,"Weld Joints Line 12""-CW-1014 (Sec-2)",Piping,L6,2026-04-11,2026-04-19,80.0,m,"line:12""-CW-1014",OIL-A1-PIP-L6-0013
OIL-A1-PIP-L6-0015,OIL Project > Gas Compression Area > Sec-3 > Piping,"Weld Joints Line 16""-FG-1015 (Sec-3)",Piping,L6,2026-06-30,2026-07-16,60.0,m,"line:16""-FG-1015",OIL-A1-PIP-L6-0014
OIL-A1-PIP-L6-0016,OIL Project > Gas Compression Area > Sec-4 > Piping,"Weld Joints Line 16""-CW-1016 (Sec-4)",Piping,L5,2026-04-30,2026-05-10,20.0,m,"line:16""-CW-1016",OIL-A1-PIP-L6-0015
OIL-A1-PIP-L6-0017,OIL Project > Gas Compression Area > North Bay > Piping,"Weld Joints Line 16""-CW-1017 (North Bay)",Piping,L6,2026-05-24,2026-06-07,120.0,m,"line:16""-CW-1017",OIL-A1-PIP-L6-0016
OIL-A1-PIP-L6-0018,OIL Project > Gas Compression Area > South Bay > Piping,"Weld Joints Line 24""-FG-1018 (South Bay)",Piping,L6,2026-06-23,2026-06-27,80.0,m,"line:24""-FG-1018",OIL-A1-PIP-L6-0017
OIL-A1-PIP-L6-0019,OIL Project > Gas Compression Area > Sec-1 > Piping,"Hydrotest Line 24""-HC-1019 (Sec-1)",Piping,L5,2026-06-01,2026-06-16,20.0,m,"line:24""-HC-1019",OIL-A1-PIP-L6-0018
OIL-A1-PIP-L6-0020,OIL Project > Gas Compression Area > Sec-2 > Piping,"Hydrotest Line 8""-PG-1020 (Sec-2)",Piping,L6,2026-05-14,2026-05-18,20.0,m,"line:8""-PG-1020",OIL-A1-PIP-L6-0019
OIL-A1-PIP-L6-0021,OIL Project > Gas Compression Area > Sec-3 > Piping,"Hydrotest Line 6""-CW-1021 (Sec-3)",Piping,L6,2026-04-04,2026-04-09,40.0,m,"line:6""-CW-1021",OIL-A1-PIP-L6-0020
OIL-A1-PIP-L6-0022,OIL Project > Gas Compression Area > Sec-4 > Piping,"Hydrotest Line 24""-HC-1022 (Sec-4)",Piping,L5,2026-06-17,2026-07-01,80.0,m,"line:24""-HC-1022",OIL-A1-PIP-L6-0021
OIL-A1-PIP-L6-0023,OIL Project > Gas Compression Area > North Bay > Piping,"Hydrotest Line 6""-PG-1023 (North Bay)",Piping,L6,2026-05-10,2026-05-15,40.0,m,"line:6""-PG-1023",OIL-A1-PIP-L6-0022
OIL-A1-PIP-L6-0024,OIL Project > Gas Compression Area > South Bay > Piping,"Hydrotest Line 6""-FG-1024 (South Bay)",Piping,L6,2026-04-03,2026-04-12,120.0,m,"line:6""-FG-1024",OIL-A1-PIP-L6-0023
OIL-A1-CIV-L6-0025,OIL Project > Gas Compression Area > Sec-1 > Civil,Pour Foundation FDN-C-0225 (Sec-1),Civil,L5,2026-06-22,2026-06-27,60.0,m3,foundation:FDN-C-0225|equipment:C-0225,
OIL-A1-CIV-L6-0026,OIL Project > Gas Compression Area > Sec-2 > Civil,Pour Foundation FDN-C-0226 (Sec-2),Civil,L6,2026-06-09,2026-06-22,40.0,m3,foundation:FDN-C-0226|equipment:C-0226,OIL-A1-CIV-L6-0025
OIL-A1-CIV-L6-0027,OIL Project > Gas Compression Area > Sec-3 > Civil,Pour Foundation FDN-C-0227 (Sec-3),Civil,L6,2026-06-06,2026-06-24,60.0,m3,foundation:FDN-C-0227|equipment:C-0227,OIL-A1-CIV-L6-0026
OIL-A1-CIV-L6-0028,OIL Project > Gas Compression Area > Sec-4 > Civil,Pour Foundation FDN-C-0228 (Sec-4),Civil,L5,2026-06-28,2026-07-12,80.0,m3,foundation:FDN-C-0228|equipment:C-0228,OIL-A1-CIV-L6-0027
OIL-A1-CIV-L6-0029,OIL Project > Gas Compression Area > North Bay > Civil,Pour Foundation FDN-C-0229 (North Bay),Civil,L6,2026-05-31,2026-06-09,60.0,m3,foundation:FDN-C-0229|equipment:C-0229,OIL-A1-CIV-L6-0028
OIL-A1-CIV-L6-0030,OIL Project > Gas Compression Area > South Bay > Civil,Pour Foundation FDN-C-0230 (South Bay),Civil,L6,2026-06-23,2026-07-07,20.0,m3,foundation:FDN-C-0230|equipment:C-0230,OIL-A1-CIV-L6-0029
OIL-A1-CIV-L6-0031,OIL Project > Gas Compression Area > Sec-1 > Civil,Excavate for Foundation FDN-C-0231 (Sec-1),Civil,L5,2026-07-11,2026-07-24,20.0,m3,foundation:FDN-C-0231|equipment:C-0231,OIL-A1-CIV-L6-0030
OIL-A1-CIV-L6-0032,OIL Project > Gas Compression Area > Sec-2 > Civil,Excavate for Foundation FDN-C-0232 (Sec-2),Civil,L6,2026-04-22,2026-04-29,20.0,m3,foundation:FDN-C-0232|equipment:C-0232,OIL-A1-CIV-L6-0031
OIL-A1-CIV-L6-0033,OIL Project > Gas Compression Area > Sec-3 > Civil,Excavate for Foundation FDN-C-0233 (Sec-3),Civil,L6,2026-06-24,2026-07-08,40.0,m3,foundation:FDN-C-0233|equipment:C-0233,OIL-A1-CIV-L6-0032
OIL-A1-CIV-L6-0034,OIL Project > Gas Compression Area > Sec-4 > Civil,Excavate for Foundation FDN-C-0234 (Sec-4),Civil,L5,2026-07-05,2026-07-12,80.0,m3,foundation:FDN-C-0234|equipment:C-0234,OIL-A1-CIV-L6-0033
OIL-A1-CIV-L6-0035,OIL Project > Gas Compression Area > North Bay > Civil,Excavate for Foundation FDN-C-0235 (North Bay),Civil,L6,2026-06-04,2026-06-14,120.0,m3,foundation:FDN-C-0235|equipment:C-0235,OIL-A1-CIV-L6-0034
OIL-A1-CIV-L6-0036,OIL Project > Gas Compression Area > South Bay > Civil,Excavate for Foundation FDN-C-0236 (South Bay),Civil,L6,2026-07-04,2026-07-18,80.0,m3,foundation:FDN-C-0236|equipment:C-0236,OIL-A1-CIV-L6-0035
OIL-A1-CIV-L6-0037,OIL Project > Gas Compression Area > Sec-1 > Civil,Rebar Fixing Foundation FDN-C-0237 (Sec-1),Civil,L5,2026-06-07,2026-06-10,80.0,m3,foundation:FDN-C-0237|equipment:C-0237,OIL-A1-CIV-L6-0036
OIL-A1-CIV-L6-0038,OIL Project > Gas Compression Area > Sec-2 > Civil,Rebar Fixing Foundation FDN-C-0238 (Sec-2),Civil,L6,2026-06-19,2026-06-25,120.0,m3,foundation:FDN-C-0238|equipment:C-0238,OIL-A1-CIV-L6-0037
