event_id,true_activity_id,template_id
E00001,OIL-A1-PIP-L6-0001,PIP:0:1
E00002,OIL-A1-PIP-L6-0001,PIP:0:1
E00003,OIL-A1-PIP-L6-0002,PIP:0:2
E00004,OIL-A1-PIP-L6-0002,PIP:0:1
E00005,OIL-A1-PIP-L6-0002,PIP:0:0
E00006,OIL-A1-PIP-L6-0004,PIP:0:2
E00007,OIL-A1-PIP-L6-0005,PIP:0:1
E00008,OIL-A1-PIP-L6-0006,PIP:0:0
E00009,OIL-A1-PIP-L6-0007,PIP:1:0
E00010,OIL-A1-PIP-L6-0007,PIP:1:0
E00011,OIL-A1-PIP-L6-0008,PIP:1:0
E00012,OIL-A1-PIP-L6-0011,PIP:1:0
E00013,OIL-A1-PIP-L6-0012,PIP:1:0
E00014,OIL-A1-PIP-L6-0012,PIP:1:1
E00015,OIL-A1-PIP-L6-0012,PIP:1:2
E00016,OIL-A1-PIP-L6-0013,PIP:2:2
E00017,OIL-A1-PIP-L6-0016,PIP:2:2
E00018,OIL-A1-PIP-L6-0016,PIP:2:0
E00019,OIL-A1-PIP-L6-0020,PIP:3:0
E00020,OIL-A1-PIP-L6-0020,PIP:3:2
E00021,OIL-A1-PIP-L6-0021,PIP:3:1
E00022,OIL-A1-PIP-L6-0021,PIP:3:2
E00023,OIL-A1-PIP-L6-0021,PIP:3:1
E00024,OIL-A1-PIP-L6-0022,PIP:3:1
E00025,OIL-A1-PIP-L6-0022,PIP:3:2
E00026,OIL-A1-PIP-L6-0023,PIP:3:2
E00027,OIL-A1-PIP-L6-0024,PIP:3:2
E00028,OIL-A1-CIV-L6-0025,CIV:0:2
E00029,OIL-A1-CIV-L6-0025,CIV:0:0
E00030,OIL-A1-CIV-L6-0026,CIV:0:1
E00031,OIL-A1-CIV-L6-0027,CIV:0:0
E00032,OIL-A1-CIV-L6-0027,CIV:0:0
E00033,OIL-A1-CIV-L6-0028,CIV:0:1
E00034,OIL-A1-CIV-L6-0029,CIV:0:2
E00035,OIL-A1-CIV-L6-0029,CIV:0:2
E00036,OIL-A1-CIV-L6-0031,CIV:1:1
E00037,OIL-A1-CIV-L6-0031,CIV:1:0
E00038,OIL-A1-CIV-L6-0031,CIV:1:0
E00039,OIL-A1-CIV-L6-0033,CIV:1:1
E00040,OIL-A1-CIV-L6-0035,CIV:1:2
E00041,OIL-A1-CIV-L6-0035,CIV:1:2
E00042,OIL-A1-CIV-L6-0036,CIV:1:0
E00043,OIL-A1-CIV-L6-0036,CIV:1:0
E00044,OIL-A1-CIV-L6-0041,CIV:2:0
E00045,OIL-A1-CIV-L6-0042,CIV:2:1
E00046,OIL-A1-CIV-L6-0042,CIV:2:0
E00047,OIL-A1-CIV-L6-0042,CIV:2:2
E00048,OIL-A1-CIV-L6-0043,CIV:3:1
E00049,OIL-A1-CIV-L6-0043,CIV:3:1
E00050,OIL-A1-CIV-L6-0043,CIV:3:1
E00051,OIL-A1-CIV-L6-0044,CIV:3:2
E00052,OIL-A1-CIV-L6-0046,CIV:3:0
E00053,OIL-A1-CIV-L6-0046,CIV:3:1
E00054,OIL-A1-CIV-L6-0048,CIV:3:1
E00055,OIL-A1-ELE-L6-0051,ELE:0:1
E00056,OIL-A1-ELE-L6-0052,ELE:0:1
E00057,OIL-A1-ELE-L6-0054,ELE:0:1
E00058,OIL-A1-ELE-L6-0056,ELE:1:1
E00059,OIL-A1-ELE-L6-0057,ELE:1:2
E00060,OIL-A1-ELE-L6-0060,ELE:1:0
E00061,OIL-A1-ELE-L6-0061,ELE:2:1
E00062,OIL-A1-ELE-L6-0062,ELE:2:1
E00063,OIL-A1-ELE-L6-0065,ELE:2:0
E00064,OIL-A1-ELE-L6-0066,ELE:2:0
E00065,OIL-A1-ELE-L6-0066,ELE:2:1
E00066,OIL-A1-ELE-L6-0066,ELE:2:2
E00067,OIL-A1-ELE-L6-0067,ELE:3:0
E00068,OIL-A1-ELE-L6-0067,ELE:3:2
E00069,OIL-A1-ELE-L6-0067,ELE:3:1
E00070,OIL-A1-ELE-L6-0068,ELE:3:2
E00071,OIL-A1-ELE-L6-0068,ELE:3:2
E00072,OIL-A1-ELE-L6-0068,ELE:3:1
E00073,OIL-A1-ELE-L6-0070,ELE:3:2
E00074,OIL-A1-ELE-L6-0070,ELE:3:0
E00075,OIL-A1-ELE-L6-0071,ELE:3:1
E00076,OIL-A1-ELE-L6-0071,ELE:3:2
E00077,OIL-A1-ELE-L6-0072,ELE:3:1
E00078,OIL-A1-INS-L6-0073,INS:0:0
E00079,OIL-A1-INS-L6-0075,INS:0:1
E00080,OIL-A1-INS-L6-0075,INS:0:1
E00081,OIL-A1-INS-L6-0077,INS:0:2
E00082,OIL-A1-INS-L6-0078,INS:0:1
E00083,OIL-A1-INS-L6-0079,INS:1:0
E00084,OIL-A1-INS-L6-0080,INS:1:1
E00085,OIL-A1-INS-L6-0080,INS:1:0
E00086,OIL-A1-INS-L6-0083,INS:1:0
E00087,OIL-A1-INS-L6-0085,INS:2:2
E00088,OIL-A1-INS-L6-0085,INS:2:2
E00089,OIL-A1-INS-L6-0086,INS:2:0
E00090,OIL-A1-INS-L6-0086,INS:2:1
E00091,OIL-A1-INS-L6-0086,INS:2:2
E00092,OIL-A1-INS-L6-0089,INS:2:0
E00093,OIL-A1-INS-L6-0089,INS:2:0
E00094,OIL-A1-INS-L6-0089,INS:2:0
E00095,OIL-A1-STA-L6-0091,STA:0:1
E00096,OIL-A1-STA-L6-0091,STA:0:2
E00097,OIL-A1-STA-L6-0091,STA:0:0
E00098,OIL-A1-STA-L6-0092,STA:0:2
E00099,OIL-A1-STA-L6-0092,STA:0:0
E00100,OIL-A1-STA-L6-0094,STA:0:0
E00101,OIL-A1-STA-L6-0095,STA:0:0
E00102,OIL-A1-STA-L6-0095,STA:0:1
E00103,OIL-A1-STA-L6-0095,STA:0:0
E00104,OIL-A1-STA-L6-0096,STA:0:0
E00105,OIL-A1-STA-L6-0097,STA:1:0
E00106,OIL-A1-STA-L6-0098,STA:1:0
E00107,OIL-A1-STA-L6-0099,STA:1:1
E00108,OIL-A1-STA-L6-0100,STA:1:0
E00109,OIL-A1-STA-L6-0101,STA:1:2
E00110,OIL-A1-STA-L6-0102,STA:1:1
E00111,OIL-A1-STA-L6-0104,STA:2:0
E00112,OIL-A1-STA-L6-0105,STA:2:1
E00113,OIL-A1-STA-L6-0107,STA:2:1
E00114,OIL-A1-STA-L6-0107,STA:2:2
E00115,OIL-A1-STA-L6-0108,STA:2:0
E00116,OIL-A1-STA-L6-0108,STA:2:2
E00117,OIL-A2-PIP-L6-0111,PIP:0:1
E00118,OIL-A2-PIP-L6-0111,PIP:0:0
E00119,OIL-A2-PIP-L6-0111,PIP:0:2
E00120,OIL-A2-PIP-L6-0112,PIP:0:2
E00121,OIL-A2-PIP-L6-0115,PIP:1:2
E00122,OIL-A2-PIP-L6-0118,PIP:1:2
E00123,OIL-A2-PIP-L6-0118,PIP:1:0
E00124,OIL-A2-PIP-L6-0118,PIP:1:2
E00125,OIL-A2-PIP-L6-0119,PIP:1:1
E00126,OIL-A2-PIP-L6-0120,PIP:1:2
E00127,OIL-A2-PIP-L6-0121,PIP:2:2
E00128,OIL-A2-PIP-L6-0123,PIP:2:0
E00129,OIL-A2-PIP-L6-0123,PIP:2:1
E00130,OIL-A2-PIP-L6-0123,PIP:2:1
E00131,OIL-A2-PIP-L6-0125,PIP:2:2
E00132,OIL-A2-PIP-L6-0127,PIP:3:2
E00133,OIL-A2-PIP-L6-0127,PIP:3:0
E00134,OIL-A2-PIP-L6-0128,PIP:3:1
E00135,OIL-A2-PIP-L6-0128,PIP:3:0
E00136,OIL-A2-PIP-L6-0129,PIP:3:0
E00137,OIL-A2-PIP-L6-0129,PIP:3:1
E00138,OIL-A2-PIP-L6-0131,PIP:3:1
E00139,OIL-A2-PIP-L6-0132,PIP:3:2
E00140,OIL-A2-CIV-L6-0133,CIV:0:1
E00141,OIL-A2-CIV-L6-0133,CIV:0:2
E00142,OIL-A2-CIV-L6-0135,CIV:0:2
E00143,OIL-A2-CIV-L6-0135,CIV:0:0
E00144,OIL-A2-CIV-L6-0135,CIV:0:0
E00145,OIL-A2-CIV-L6-0136,CIV:0:1
E00146,OIL-A2-CIV-L6-0138,CIV:0:2
E00147,OIL-A2-CIV-L6-0139,CIV:1:0
E00148,OIL-A2-CIV-L6-0140,CIV:1:0
E00149,OIL-A2-CIV-L6-0140,CIV:1:1
E00150,OIL-A2-CIV-L6-0141,CIV:1:1
E00151,OIL-A2-CIV-L6-0142,CIV:1:1
E00152,OIL-A2-CIV-L6-0142,CIV:1:2
E00153,OIL-A2-CIV-L6-0143,CIV:1:1
E00154,OIL-A2-CIV-L6-0144,CIV:1:0
E00155,OIL-A2-CIV-L6-0145,CIV:2:0
E00156,OIL-A2-CIV-L6-0145,CIV:2:2
E00157,OIL-A2-CIV-L6-0146,CIV:2:0
E00158,OIL-A2-CIV-L6-0147,CIV:2:1
E00159,OIL-A2-CIV-L6-0152,CIV:3:2
E00160,OIL-A2-CIV-L6-0153,CIV:3:2
E00161,OIL-A2-CIV-L6-0153,CIV:3:1
E00162,OIL-A2-CIV-L6-0153,CIV:3:1
E00163,OIL-A2-CIV-L6-0154,CIV:3:2
E00164,OIL-A2-CIV-L6-0155,CIV:3:2
E00165,OIL-A2-CIV-L6-0155,CIV:3:2
E00166,OIL-A2-ELE-L6-0159,ELE:0:0
E00167,OIL-A2-ELE-L6-0161,ELE:0:0
E00168,OIL-A2-ELE-L6-0161,ELE:0:1
E00169,OIL-A2-ELE-L6-0161,ELE:0:0
E00170,OIL-A2-ELE-L6-0163,ELE:1:1
E00171,OIL-A2-ELE-L6-0163,ELE:1:2
